KS,Exec,Oct 5-7,Oct 26-28,Nov 9-11,Sep 14-16,"I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
CB,Exec,Oct 5-7,Oct 26-28,Sep 28-30,Nov 30 - Dec 2,Nov 9-11,Nov 16-18,Nov 16-18,Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
Am,Exec,Oct 5-7,Oct 26-28,Nov 9-11,Sep 14-16,Nov 30 - Dec 2,Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
MM,Direc,Sep 21-23,Oct 5-7,Oct 19-21,Nov 16-18,Oct 26-28,Nov 2-4,Oct 12-14,Sep 28-30,Sep 14-16,Sep 7-9
LO,Exec,Oct 19-21,Sep 14-16,Oct 5-7,Nov 9-11,Nov 2-4,Oct 26-28,Nov 30 - Dec 2,Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
JS,Exec,Oct 26-28,Oct 19-21,Nov 30 - Dec 2,Oct 5-7,Nov 9-11,Sep 28-30,Nov 16-18,Sep 21-23,Nov 2-4,Sep 14-16
AM,Direc,Oct 5-7,Nov 2-4,Sep 7-9,Oct 26-28,Oct 19-21,Sep 14-16,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
NN,Exec,Sep 21-23,Oct 26-28,Oct 19-21,Nov 16-18,Oct 5-7,Nov 2-4,Nov 9-11,Sep 28-30,Sep 14-16,Sep 7-9
KP,Exec,Oct 26-28,Nov 2-4,Nov 9-11,Nov 16-18,Oct 19-21,Oct 12-14,Oct 5-7,Sep 28-30,Sep 21-23,Nov 30 - Dec 2
ES,Exec,Oct 5-7,Nov 9-11,Sep 7-9,Sep 28-30,Oct 26-28,Nov 16-18,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
TM,Direc,Sep 21-23,Oct 5-7,Nov 2-4,Oct 26-28,Nov 9-11,Nov 30 - Dec 2,Sep 28-30,Sep 14-16,Nov 16-18,Oct 12-14
CM,Exec,Oct 19-21,Sep 21-23,Nov 2-4,Sep 28-30,Sep 14-16,Nov 9-11,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
GO,Exec,Nov 16-18,Sep 21-23,Oct 12-14,Oct 26-28,"I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
BE,Exec,Sep 21-23,Sep 28-30,Oct 26-28,Nov 2-4,Oct 5-7,Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
RA,Direc,Sep 21-23,Nov 16-18,Oct 5-7,Oct 12-14,Sep 14-16,Nov 2-4,Oct 26-28,Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
AP,Exec,Oct 26-28,Nov 9-11,Nov 16-18,Oct 5-7,Nov 2-4,Nov 30 - Dec 2,Sep 14-16,Sep 7-9,Sep 28-30,"Glad to be done with this survey, pick for me"
ML,Exec,Sep 21-23,Oct 19-21,Nov 16-18,Nov 30 - Dec 2,Oct 5-7,Nov 2-4,Sep 14-16,Oct 26-28,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
RK,Exec,Sep 28-30,Sep 21-23,Nov 30 - Dec 2,Nov 16-18,"I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
GR,Exec,Oct 26-28,Oct 12-14,Nov 16-18,Nov 30 - Dec 2,"I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
AC,Exec,Pick for me,Random,"No big deal, pick for me","Doesn't matter much, pick for me","I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
PP,Exec,Nov 30 - Dec 2,Nov 16-18,Oct 26-28,Oct 5-7,Oct 19-21,Nov 9-11,Sep 28-30,Oct 12-14,Sep 14-16,Nov 2-4
CA,Exec,Sep 28-30,Oct 26-28,Nov 2-4,Nov 16-18,Nov 30 - Dec 2,Sep 7-9,Sep 14-16,Oct 12-14,Oct 5-7,Nov 9-11
ZW,Exec,Nov 9-11,Oct 12-14,Nov 16-18,Oct 19-21,Oct 5-7,Nov 30 - Dec 2,Sep 7-9,Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
